"","avg_load","Max Load","Average Net Load","Max Net Load","Data Center Load Avg","Data Center Load Max","Mid Atlantic Load Average","Mid Atlantic Load Max","Generation Outages","DA_LMP","RT LMP","Solar Forecast","Wind Forecast","Henry (GASPRICE) Average","TETCO-M3 (GASPRICE) Average","is weekend?","Season","DA/L-AVG","DA/L-Max","DA/NL-Avg","DA/NL-max","DA/Dom-Avg","DA/Dom-max","DA/MidA-Avg","DA/Mid-Anax","Outage/L-Avg","Outage/L-Max","GasBlend","BlendHR","BlendHR/Load","GB/NLA","time","load_lag1","load_lag2","load_slide3","load_slide7","load_slide14","load_slide30","pred_load"
"21",93898.25,98879,92327.255156,95421.707,20945,22430,31186.4375,33540,24253,38.545062,42.812744,NA,528.082563,3.13,2.78,TRUE,1,0.000410498193523309,0.000389820507893486,0.000417483027464346,0.000403944377142614,0.00184029897350203,0.00171846018724922,0.0012359559183379,0.00114922665474061,0.258700721919738,0.245712565296979,2.955,13.044014213198,0.000138916478349681,0.00014128021233988,2023-01-21,96602.875,94791.875,95348.1458333333,96429.5714285714,96863.7008928571,NA,96007.2336309524
"22",94995.125,101032,93614.989494,98816.508,21902.375,23100,31690.9375,34464,23044,39.684209,38.609775,NA,1174.427688,3.13,2.78,TRUE,1,0.000417749952958112,0.000392788512550479,0.000423908705373977,0.000401594933915293,0.00181186784538206,0.00171793112554113,0.00125222578221297,0.00115146845984215,0.242998619234408,0.22846830484401,2.955,13.4295123519459,0.000141370542456214,0.000143454722630787,2023-01-22,93898.25,96602.875,95219.5416666667,96419.3303571429,96840,NA,95795.9994047619
"23",102826.0625,107773,97000.006645,98529.374,21957.625,23151,34407.25,36905,23107,44.022027,32.882022,NA,5041.794063,3.13,3.25,FALSE,1,0.000428121294637729,0.000408469904335965,0.00045383529880685,0.000446790893038659,0.00200486286654408,0.00190151729946871,0.00127944043769845,0.00119284722937271,0.225147413643307,0.214709454334574,3.19,13.8000084639498,0.000134207302394272,0.000142268118748229,2023-01-23,94995.125,93898.25,95097.6666666667,96109.9464285714,96907.3080357143,NA,95401.6592261905
"24",102182.0625,108634,99538.554135,102927.22,22003.1875,25709,33789.125,35992,19329,45.445913,31.78708,NA,1030.546875,3.39,3.34,FALSE,1,0.000444754312920626,0.000418339681867555,0.000456565934626332,0.000441534445407153,0.00206542406639947,0.00176770442257575,0.00134498638245293,0.00126266706490331,0.189607113410928,0.178220327705875,3.365,13.5054719167905,0.000132170672487556,0.000135680812667558,2023-01-24,102826.0625,94995.125,95165.4166666667,96027.6785714286,96954.8169642857,NA,97193.8199404762
"25",103687.75,107994,100029.937892,103754.759,22439.1875,24426,35628.9375,36908,17585,43.304407,29.846728,NA,3479.613,3.34,3.01,FALSE,1,0.0004176424601749,0.000400989008648629,0.000432914464535155,0.000417372729861962,0.00192985628378924,0.00177288164251208,0.00121542796497931,0.00117330678985586,0.170013375803796,0.163109494305239,3.175,13.6391833070866,0.000131540932338551,0.000136351012452017,2023-01-25,102182.0625,102826.0625,97239.8125,96338.1071428571,97100.6383928571,NA,99137.3366071429
"26",100788.25,105743,93998.371346,96910.165,21301,22640,33282,35589,14667,37.270621,33.491823,NA,5772.220813,3.08,3.16,FALSE,1,0.000369791329842516,0.000352464191483124,0.000396502837935458,0.000384589387501301,0.00174971226702972,0.00164622884275618,0.00111984318851031,0.00104725114501672,0.145892706947486,0.139020945339171,3.12,11.9457118589744,0.000118522862129012,0.000127084242928031,2023-01-26,103687.75,102182.0625,100001.083333333,97080.0178571429,97240.9241071429,NA,100038.367559524
"27",102056.1875,107824,94514.161734,97800.524,22763.375,25408,33804.6875,35887,16351,32.231905,25.514802,NA,6058.099438,2.71,2.78,FALSE,1,0.000315825093897418,0.000298930711158926,0.000341027253574054,0.000329567814994529,0.00141595457615578,0.00126857308721662,0.000953474425699099,0.000898149887145763,0.160531490606584,0.151881907571598,2.745,11.7420418943534,0.000115054679015453,0.00012423579365175,2023-01-27,100788.25,103687.75,102898.625,98426.2857142857,97486.6785714286,NA,100657.517857143
"28",92568.75,96977,87606.902973,88694.413,20572.5625,23201,30780.5,32298,17533,27.036795,23.78828,NA,3378.173438,2.79,2.78,TRUE,1,0.000292072594693133,0.000278795951617394,0.000308614893147548,0.000304830869110098,0.00131421620422833,0.00116532886513512,0.000878374132973798,0.000837104309864388,0.18969724442644,0.181040744506429,2.785,9.70800538599641,0.000104873463085506,0.000110813247090682,2023-01-28,102056.1875,100788.25,102219.354166667,99282.9107142857,97856.2410714286,NA,100440.588690476
"29",89647.0625,95494,86430.451984,89429,19849.1875,21001,30028.3125,32437,15579,27.394496,29.88404,NA,2617.196813,2.79,2.78,TRUE,1,0.000305581635761908,0.000286871384589608,0.000316954214297887,0.000306326762012323,0.00138013185678255,0.00130443769344317,0.000912288894022933,0.0008445446866233,0.174087070571889,0.163454081303537,2.785,9.83644380610413,0.000109724106198172,0.00011380761734215,2023-01-29,92568.75,102056.1875,102177.395833333,100061.955357143,98240.6428571429,NA,99020.9863095238
"30",100383.8125,105580,97458.942276,100856.056,20424.75,22071,31963.4375,34009,16821,41.827789,33.401005,NA,2206.214938,2.79,2.34,FALSE,1,0.000416678625351074,0.000396171519227126,0.000429183695443208,0.000414727589585696,0.00204789723252427,0.00189514698020026,0.00130861359952289,0.00122990352553736,0.167983536080581,0.159636304271642,2.565,16.307130214425,0.000162447807154415,0.0001673230781455,2023-01-30,89647.0625,92568.75,98471.0625,99872.0267857143,97990.9866071429,NA,95709.9776785714
